CPU Cap (W),GPU Cap (W),CPU_E (J),GPU_E (J),Runtime (s)
105,260,3241.16,1912.38,36.71
105,240,-259099.12,1889.25,34.08
105,220,3058.71,1855.3,34.24
105,200,3287.34,1870.27,37.27
105,180,3278.36,1900.1,36.76
105,160,3192.06,1860.22,35.73
105,140,3259.19,1829.44,36.53
105,120,3260.19,1824.81,36.49
105,100,3174.17,1860.08,35.49
100,260,3164.18,1930.69,37.15
100,240,2902.0,1890.65,34.18
100,220,2916.87,1837.3,34.36
100,200,2915.5,1868.0,34.32
100,180,2887.97,1872.77,33.99
100,160,2900.93,1837.23,34.16
100,140,2900.15,1862.27,34.14
100,120,2923.34,1842.16,34.43
100,100,2961.72,1859.35,35.25
95,260,2856.88,1960.65,35.26
95,240,2837.38,1846.83,35.0
95,220,2841.32,1899.61,35.11
95,200,2848.03,1853.18,35.13
95,180,2903.85,1842.42,35.91
95,160,2881.73,1892.78,35.37
95,140,3080.48,1846.0,37.32
95,120,2862.67,1851.45,35.3
95,100,2871.35,1861.2,35.39
90,260,3046.17,1948.79,39.48
90,240,2963.6,1952.63,38.47
90,220,3063.27,1999.65,39.85
90,200,2975.17,1935.56,38.55
90,180,3119.42,1939.33,40.51
90,160,2983.13,1931.11,38.72
90,140,2990.89,1927.45,38.81
90,120,3307.83,1914.76,42.29
90,100,3043.31,1915.51,39.52
85,260,2976.85,1963.2,40.55
85,240,3033.46,1982.45,41.38
85,220,3161.39,1978.66,43.63
85,200,2977.58,1963.73,40.61
85,180,2958.62,1929.97,40.31
85,160,3063.97,1875.65,41.79
85,140,3014.38,1922.86,41.08
85,120,3073.61,1903.43,42.01
85,100,3300.68,1970.44,44.45
80,260,-258785.72,2029.01,49.64
80,240,3215.95,2001.47,47.91
80,220,3234.35,2010.62,47.43
80,200,3084.39,2005.85,45.07
80,180,3226.18,1953.29,47.53
80,160,3147.54,1941.96,46.12
80,140,3176.15,1957.12,46.49
80,120,3256.76,1920.14,47.76
80,100,3153.92,1946.62,46.26
75,260,3062.62,1977.43,47.13
75,240,3058.55,2013.43,47.13
75,220,3084.19,1962.28,47.6
75,200,3109.22,1992.36,46.22
75,180,3130.13,1971.02,48.55
75,160,3047.33,1944.46,46.96
75,140,3051.35,1938.13,45.34
75,120,3066.67,1925.01,47.26
75,100,3121.57,1947.18,48.35
70,260,3268.81,2091.85,53.85
70,240,3332.2,2074.37,55.02
70,220,3420.1,2120.73,55.09
70,200,3641.68,2061.33,60.3
70,180,3341.51,2063.27,55.12
70,160,3413.1,2087.69,56.46
70,140,3550.13,2096.77,58.9
70,120,3356.67,2037.93,55.44
70,100,3344.74,2017.47,55.26
65,260,4098.72,2267.71,70.47
65,240,4052.71,2249.9,69.55
65,220,4108.75,2243.64,70.62
65,200,4072.84,2232.56,70.03
65,180,4054.09,2252.49,69.69
65,160,4084.93,2244.56,70.15
65,140,4062.45,2281.65,69.84
65,120,4093.53,2244.89,70.38
65,100,4090.66,2239.38,70.3
105,260,3043.93,1875.31,34.15
105,240,3264.8,1821.32,36.61
105,220,3161.84,1824.56,35.35
105,200,3251.76,1879.14,36.84
105,180,3073.88,1839.7,34.97
105,160,3126.47,1861.07,34.99
105,140,3159.45,1826.19,35.29
105,120,-258980.26,1815.04,35.29
105,100,3089.67,1845.4,34.61
100,260,2921.85,1912.39,34.42
100,240,2900.76,1793.12,34.16
100,220,2907.16,1834.28,34.26
100,200,2898.28,1874.34,34.16
100,180,2909.86,1845.61,34.31
100,160,2903.52,1849.77,34.18
100,140,2910.68,1866.09,34.31
100,120,2918.77,1799.21,34.37
100,100,2912.88,1803.4,34.36
95,260,2914.66,1888.56,35.54
95,240,2847.4,1877.32,35.14
95,220,2904.3,1850.17,35.9
95,200,2838.52,1898.82,35.03
95,180,3018.47,1854.56,36.75
95,160,2863.27,1839.73,35.71
95,140,2896.83,1895.48,35.29
95,120,2905.83,1844.71,35.93
95,100,2856.01,1848.06,35.19
90,260,3351.14,1956.66,42.88
90,240,3090.12,1954.26,40.09
90,220,2972.34,1906.42,38.6
90,200,3066.43,1896.88,39.8
90,180,3387.43,1981.37,43.91
90,160,3126.94,1944.68,40.57
90,140,3035.23,1902.25,39.35
90,120,3119.15,1870.91,40.52
90,100,-258775.91,1912.19,43.16
85,260,3013.1,1922.42,41.1
85,240,3342.68,1963.43,45.05
85,220,3071.44,1943.75,41.86
85,200,3026.6,1919.38,41.29
85,180,3039.74,1926.53,41.53
85,160,3041.97,1905.73,41.46
85,140,3075.52,1934.88,42.0
85,120,3008.4,1871.08,41.02
85,100,3443.82,1997.83,46.58
80,260,3117.37,2076.1,45.66
80,240,3143.69,2018.61,46.12
80,220,3050.88,1948.47,44.56
80,200,3073.24,1978.41,44.94
80,180,3083.91,1980.21,45.07
80,160,3029.07,1927.96,44.13
80,140,3126.17,1962.46,45.82
80,120,3138.15,1969.79,45.91
80,100,3160.39,1945.63,46.26
75,260,3074.67,2017.54,47.33
